MULTIPLICATION TABLE 4 (Zero-Free System)
==========================================

4 × 1 = 4
4 × 2 = 8
4 × 3 = 12
4 × 4 = 16
4 × 5 = 21
4 × 6 = 24
4 × 7 = 28
4 × 8 = 32
4 × 9 = 36
4 × 11 = 44
4 × 12 = 48
4 × 13 = 52
4 × 14 = 56
4 × 15 = 61
4 × 16 = 64
4 × 17 = 68
4 × 18 = 72
4 × 19 = 76
4 × 21 = 84
4 × 22 = 88
4 × 23 = 92
4 × 24 = 96
4 × 25 = 111
4 × 26 = 114
4 × 27 = 118
4 × 28 = 112
4 × 29 = 116
4 × 31 = 124
4 × 32 = 128
4 × 33 = 132
4 × 34 = 136
4 × 35 = 141
4 × 36 = 144
4 × 37 = 148
4 × 38 = 152
4 × 39 = 156
4 × 41 = 164
4 × 42 = 168
4 × 43 = 172
4 × 44 = 176
4 × 45 = 181
4 × 46 = 184
4 × 47 = 188
4 × 48 = 192
4 × 49 = 196
4 × 51 = 214
4 × 52 = 218
4 × 53 = 212
4 × 54 = 216
4 × 55 = 221
4 × 56 = 224
4 × 57 = 228
4 × 58 = 232
4 × 59 = 236
4 × 61 = 244
4 × 62 = 248
4 × 63 = 252
4 × 64 = 256
4 × 65 = 261
4 × 66 = 264
4 × 67 = 268
4 × 68 = 272
4 × 69 = 276
4 × 71 = 284
4 × 72 = 288
4 × 73 = 292
4 × 74 = 296
4 × 75 = 311
4 × 76 = 314
4 × 77 = 318
4 × 78 = 312
4 × 79 = 316
4 × 81 = 324
4 × 82 = 328
4 × 83 = 332
4 × 84 = 336
4 × 85 = 341
4 × 86 = 344
4 × 87 = 348
4 × 88 = 352
4 × 89 = 356
4 × 91 = 364
4 × 92 = 368
4 × 93 = 372
4 × 94 = 376
4 × 95 = 381
4 × 96 = 384
4 × 97 = 388
4 × 98 = 392
4 × 99 = 396
4 × 111 = 444
